controller,seed,family,regime,mean_tracking_loss,tracking_rmse,mean_action_cost,hard_violations,tracking_pass,failure_rate,recovery_fraction,mean_recovery_steps,recovery_censored,initial_tail_loss,return_tail_loss,return_loss_change,mean_stockout,mean_overflow,censored_transition_fraction,action_seconds,learning_seconds,controller_seconds
signed_intensity,62008,cooperative_inventory,paired,0.009405951190143527,0.09698428321199021,3.022388178706383,0,True,0.0,1.0,4.666666666666667,0,0.0004400169235308813,0.0003132273329080474,-0.00012678959062283393,0.0016878660598532698,0.0010764220848308275,0.2607421875,0.09127190703293309,0.017300859006354585,0.10857276603928767
zero,62008,cooperative_inventory,paired,0.09082917456099038,0.30137878916902955,0.0,0,False,1.0,0.0,,3,0.08853806451146634,0.08853806451146634,0.0,0.012163009911247335,0.0,0.958984375,0.0016554019966861233,0.00024952504463726655,0.0019049270413233899
hold,62008,cooperative_inventory,paired,0.04575458521802829,0.21390321460424172,2.3682319040848414,0,False,1.0,0.3333333333333333,6.0,2,0.03496384019534529,0.03225759322384884,-0.0027062469714964482,0.0005650132028903746,0.0,0.0615234375,0.00171350304299267,0.0002379020443186164,0.0019514050873112865
paired,62008,cooperative_inventory,paired,0.009405951190143527,0.09698428321199021,3.022388178706383,0,True,0.0,1.0,4.666666666666667,0,0.0004400169235308813,0.00031322733290804837,-0.00012678959062283296,0.00168786605985327,0.0010764220848308293,0.2607421875,0.09277576601016335,0.018393238991848193,0.11116900500201155
diagonal,62008,cooperative_inventory,diagonal,0.008706934880241145,0.09331095798587187,3.130316358043591,0,True,0.0,1.0,4.333333333333333,0,0.000708102030384778,0.00028111104949355586,-0.0004269909808912221,0.0005770204242291283,9.73863337307707e-05,0.1318359375,0.09435537602985278,0.019196883040422108,0.11355225907027489
shuffled,62008,cooperative_inventory,diagonal,0.008583834901855018,0.09264898759217512,3.102072042968051,0,True,0.0,1.0,4.333333333333333,0,0.0002786197645626758,0.0001465986735617458,-0.00013202109100092998,0.0006029380195234079,5.432167768129907e-05,0.1357421875,0.09765888605761575,0.020452273973205592,0.11811116003082134
dense,62008,cooperative_inventory,diagonal,0.008447138292889775,0.09190831460150803,3.034801770035755,0,True,0.0,1.0,4.0,0,8.429872156292249e-05,2.1075647351434682e-05,-6.322307421148781e-05,0.0009609082714145665,1.1882600356728041e-05,0.171875,0.08739332301774994,0.018883775002905168,0.1062770980206551
signed_intensity,62008,cooperative_inventory,diagonal,0.008556196532088362,0.0924997109838099,3.070410038372373,0,True,0.0,1.0,4.0,0,0.00039188760621630746,7.568336158134974e-05,-0.00031620424463495774,0.0010278560076068595,8.800408467306352e-05,0.1904296875,0.09004449102212675,0.018395206992863677,0.10843969801499043
zero,62008,cooperative_inventory,diagonal,0.0782336664298377,0.27970281805844877,0.0,0,False,1.0,0.0,,3,0.09121089895958708,0.09121089895958708,0.0,0.012163009911247335,0.0,0.958984375,0.0016850790125317872,0.00030551505187759176,0.001990594064409379
hold,62008,cooperative_inventory,diagonal,0.04894237129620882,0.2212292279428937,2.3682319040848414,0,False,1.0,0.3333333333333333,0.0,2,0.05504052970487525,0.05401456618426775,-0.0010259635206075063,0.00027768298484289963,0.0,0.029296875,0.0016720099592930637,0.00024389997270191088,0.0019159099319949746
