scenario,seed,Config,HGI_final,HGI_mean,INC_final,INC_mean,Continuous_modulation_pct,Override_pct,Override_effect_pct,HGI_guard_pct,INC_guard_pct,Clipping_pct,Recovery,Recovery_status
p7_no_modulation,2028,p7_no_modulation,0.995072603225708,0.9738611479600271,0.9606624841690063,0.9626117919882139,0.0,0.0,0.0,20.833333333333336,54.166666666666664,25.0,,censored
p7_no_homeostasis,2028,p7_no_homeostasis,0.9913178086280823,0.9710861667990685,0.9526405334472656,0.9621295183897018,100.0,0.0,0.0,25.0,54.166666666666664,37.5,,censored
iacl,2028,iacl,0.9999508659044901,0.9993775619400872,0.9772572120030721,0.9794080936246448,100.0,0.0,0.0,0.0,20.833333333333336,0.0,,no_detectable_departure
perturb_reduced,2028,perturb_reduced,0.995757520198822,0.9821170547178814,0.9931179285049438,0.9589936254279954,100.0,0.0,0.0,17.857142857142858,14.285714285714285,25.0,,censored
perturb_no_reduction,2028,perturb_no_reduction,0.989691436290741,0.9800978260380881,0.9954128265380859,0.9596218434827668,100.0,0.0,0.0,17.857142857142858,14.285714285714285,39.285714285714285,,censored
p2,2029,p2,0.999874472618103,0.9991021752357483,0.9844580292701721,0.9808564603328704,100.0,0.0,0.0,0.0,10.0,0.0,,not_applicable
p6,2029,p6,0.9998565316200256,0.9984331399202346,0.9671903848648071,0.9570402413606643,100.0,0.0,0.0,0.0,35.0,0.0,2,recovered
p7,2029,p7,0.9929572939872742,0.9697465002536774,0.9480099081993103,0.9605188171068827,100.0,0.0,0.0,25.0,54.166666666666664,29.166666666666668,,censored
p7_no_modulation,2029,p7_no_modulation,0.9942119121551514,0.9699824104706446,0.9566448926925659,0.9612599884470304,0.0,0.0,0.0,25.0,58.333333333333336,29.166666666666668,,censored
p7_no_homeostasis,2029,p7_no_homeostasis,0.9822196960449219,0.9637785280744234,0.9448579549789429,0.9606964886188507,100.0,0.0,0.0,29.166666666666668,54.166666666666664,45.83333333333333,,censored
iacl,2029,iacl,0.9999245206514994,0.9993396343456374,0.9810667037963867,0.9796540563305219,100.0,0.0,0.0,0.0,34.722222222222214,0.0,,no_detectable_departure
perturb_reduced,2029,perturb_reduced,0.9956037402153015,0.9820082996572767,0.9935040473937988,0.9679223767348698,100.0,0.0,0.0,14.285714285714285,14.285714285714285,28.57142857142857,,censored
perturb_no_reduction,2029,perturb_no_reduction,0.989764392375946,0.980140711580004,0.9956387281417847,0.9684903919696808,100.0,0.0,0.0,14.285714285714285,14.285714285714285,46.42857142857143,,censored
