split,task,seed,controller,mean_compute_us,tracking_rmse,mean_regret,mean_cost,hard_violations,mean_recovery_steps,recovery_censored,recovery_events,recovery_fraction,recall_regret,reacquisition_regret,effect_discrimination,effect_target_correlation,mean_node_homogeneity,mean_temporal_action_cosine,external_pass
heldout,switching_memory,1030,self_model_reset,319.6820625,0.056176101043526126,0.003152672300846166,12.969415114078899,0,0.8,0,5,1.0,0.012918516715088126,9.470190478409578e-05,0.5300733674386705,0.9823366301030099,0.9663696555236116,0.9873455665894474,True
development,gain_resource_shift,101,zero,14.132770833333334,0.47248087718210807,0.19762139542924975,0.0,0,,5,5,0.0,,,2.9807731296983657e-06,0.0026251033419682677,1.0,,False
development,gain_resource_shift,102,zero,19.84691666666667,0.4787109954342005,0.20214288054551996,0.0,0,,5,5,0.0,,,6.096534159541749e-05,0.026060320090816855,1.0,,False
development,gain_resource_shift,103,zero,12.18040625,0.4401841104391332,0.17389992766365459,0.0,0,,5,5,0.0,,,-1.640417874089592e-05,-0.004913992568423022,1.0,,False
development,gain_resource_shift,104,zero,11.882197916666666,0.4467883076524249,0.17862504456365427,0.0,0,,5,5,0.0,,,2.825831602013397e-05,0.012244829293495768,1.0,,False
development,gain_resource_shift,105,zero,11.895895833333334,0.47250105899741346,0.19602939508438735,0.0,0,,5,5,0.0,,,-3.2040803347108127e-06,-0.0025621403885783124,1.0,,False
development,switching_memory,101,zero,14.192916666666665,0.4280577539666915,0.1832303656340827,0.0,0,,5,5,0.0,0.1795027585384755,0.17947038541061933,1.8216853966047876e-05,0.007696700558580592,1.0,,False
development,switching_memory,102,zero,13.718770833333334,0.3769534097640858,0.14209112241366692,0.0,0,,5,5,0.0,0.13466789107477892,0.1346232855056293,8.704283298369478e-05,0.03638598662490656,1.0,,False
development,switching_memory,103,zero,13.268208333333334,0.42079962615900335,0.17706949998536736,0.0,0,,5,5,0.0,0.17208551268835076,0.17202976072078532,-5.2718290026539344e-05,-0.023789858039881095,1.0,,False
development,switching_memory,104,zero,14.65415625,0.42370814085922737,0.17952560648663243,0.0,0,,5,5,0.0,0.18705900321379773,0.18700696778427112,7.1752643491880454e-06,0.003109633317922774,1.0,,False
development,switching_memory,105,zero,13.770697916666666,0.4339112616966219,0.18827604906705733,0.0,0,,5,5,0.0,0.19447424449576778,0.19456880799345921,-5.306378791061642e-05,-0.02338303067517899,1.0,,False
heldout,gain_resource_shift,1001,zero,18.80180208333333,0.4383951176747716,0.17422102470608133,0.0,0,,5,5,0.0,,,6.300766852343877e-07,0.00023357683919037725,1.0,,False
heldout,gain_resource_shift,1002,zero,12.110145833333334,0.4384457235045042,0.1739470557399613,0.0,0,,5,5,0.0,,,-3.628012392287139e-05,-0.013703550536307674,1.0,,False
heldout,gain_resource_shift,1003,zero,12.67265625,0.46093609984786454,0.19098574743940624,0.0,0,,5,5,0.0,,,5.579630538462383e-05,0.021446865246381817,1.0,,False
heldout,gain_resource_shift,1004,zero,13.47390625,0.4326074423668958,0.17011963824531015,0.0,0,,5,5,0.0,,,-2.1685209727358113e-05,-0.011249367167599294,1.0,,False
heldout,gain_resource_shift,1005,zero,15.778854166666665,0.4609440833623517,0.18968682495971043,0.0,0,,5,5,0.0,,,5.458238949951192e-05,0.01797991037308483,1.0,,False
heldout,gain_resource_shift,1006,zero,18.992270833333333,0.4441579023144335,0.17821095987100735,0.0,0,,5,5,0.0,,,8.487228119304318e-06,0.002129016931100956,1.0,,False
heldout,gain_resource_shift,1007,zero,22.3545625,0.4441227293973974,0.17846503422838245,0.0,0,,5,5,0.0,,,2.5829626201518806e-05,0.011725675420130944,1.0,,False
heldout,gain_resource_shift,1008,zero,13.894229166666666,0.43258461398725023,0.16891206952925683,0.0,0,,5,5,0.0,,,1.4987488082001516e-05,0.006610987736692901,1.0,,False
heldout,gain_resource_shift,1009,zero,17.774520833333334,0.4609930461001398,0.19118692097140658,0.0,0,,5,5,0.0,,,-9.37830702073914e-05,-0.03778915342352985,1.0,,False
heldout,gain_resource_shift,1010,zero,13.165635416666666,0.48244067600242924,0.20758220951313197,0.0,0,,5,5,0.0,,,-6.923483373583964e-05,-0.029730873962650423,1.0,,False
heldout,gain_resource_shift,1011,zero,14.025510416666666,0.46098565654115903,0.19049469240571013,0.0,0,,5,5,0.0,,,-3.5176336207471954e-05,-0.011615023191135818,1.0,,False
heldout,gain_resource_shift,1012,zero,12.1035,0.44982968867174655,0.1824864542326562,0.0,0,,5,5,0.0,,,5.597019979393001e-05,0.02279650365443565,1.0,,False
heldout,gain_resource_shift,1013,zero,16.22184375,0.43261455264324433,0.169964305101557,0.0,0,,5,5,0.0,,,1.231833843875639e-05,0.005919764702695166,1.0,,False
heldout,gain_resource_shift,1014,zero,11.983375,0.47186670425273225,0.19824895054579528,0.0,0,,5,5,0.0,,,-5.062919850454435e-05,-0.0194423949682439,1.0,,False
heldout,gain_resource_shift,1015,zero,12.27371875,0.44416185988694945,0.17864779542856657,0.0,0,,5,5,0.0,,,1.2229738362311824e-05,0.004829914045287323,1.0,,False
heldout,gain_resource_shift,1016,zero,12.990791666666667,0.4441717471802878,0.17852912367339227,0.0,0,,5,5,0.0,,,1.2510672236983934e-05,0.0060374248065852565,1.0,,False
heldout,gain_resource_shift,1017,zero,16.682739583333333,0.47182197104322554,0.19808798343516795,0.0,0,,5,5,0.0,,,4.2355747252346585e-05,0.01483718501454365,1.0,,False
heldout,gain_resource_shift,1018,zero,17.001552083333333,0.455452296002387,0.18647263387618884,0.0,0,,5,5,0.0,,,1.691932862097202e-05,0.007237990203860718,1.0,,False
heldout,gain_resource_shift,1019,zero,13.58321875,0.4498263299761022,0.18246791907976131,0.0,0,,5,5,0.0,,,-4.770342924307843e-06,-0.0007786817141458188,1.0,,False
heldout,gain_resource_shift,1020,zero,13.835,0.4498544095925875,0.18156691039990625,0.0,0,,5,5,0.0,,,-1.975511831149449e-05,-0.00816729002630179,1.0,,False
heldout,gain_resource_shift,1021,zero,13.153177083333334,0.45545836486179264,0.1867711662166057,0.0,0,,5,5,0.0,,,-3.1182906688408314e-05,-0.016306040605217093,1.0,,False
heldout,gain_resource_shift,1022,zero,11.947979166666666,0.4609497963674062,0.19098219997228094,0.0,0,,5,5,0.0,,,4.556301551476003e-05,0.021725305624729022,1.0,,False
