seed,family,topology,resource,mode,loss,cost,post_switch_loss,return_loss,saturation,violations,runtime_seconds
901036,congestion,aligned,ample,zero_negative,0.19593955871226498,0.0,0.22552499187783281,0.155355592727397,1.0,0,0.01470240499963893
901036,congestion,aligned,scarce,full,0.020813877640921904,0.3806969141583237,0.0304241507536084,0.000648720670549976,0.03125,0,0.018849819000138268
901036,congestion,aligned,scarce,no_K,0.020813877640921904,0.3806969141583237,0.0304241507536084,0.000648720670549976,0.03125,0,0.01881684199963729
901036,congestion,aligned,scarce,no_W,0.020813877640921904,0.3806969141583237,0.0304241507536084,0.000648720670549976,0.03125,0,0.018854236999800378
901036,congestion,aligned,scarce,no_WK,0.020813877640921904,0.3806969141583237,0.0304241507536084,0.000648720670549976,0.03125,0,0.0190166970004384
901036,congestion,aligned,scarce,retuned_zero,0.020813877640921904,0.3806969141583237,0.0304241507536084,0.000648720670549976,0.03125,0,0.0187087330000395
901036,congestion,aligned,scarce,rewired,0.020813877640921904,0.3806969141583237,0.0304241507536084,0.000648720670549976,0.03125,0,0.018836378001424237
901036,congestion,aligned,scarce,reverse,0.020813877640921904,0.3806969141583237,0.0304241507536084,0.000648720670549976,0.03125,0,0.018852387999800158
901036,congestion,aligned,scarce,generic_nonlinear,0.020813877640921904,0.3806969141583237,0.0304241507536084,0.000648720670549976,0.03125,0,0.01698442399981559
901036,congestion,aligned,scarce,generic_equivalent,0.020813877640921904,0.3806969141583237,0.0304241507536084,0.000648720670549976,0.03125,0,0.016716068001073836
901036,congestion,aligned,scarce,signed_intensity,0.020813877640921904,0.3806969141583237,0.0304241507536084,0.000648720670549976,0.03125,0,0.029419023001196365
901036,congestion,aligned,scarce,gradient,0.022244176823425818,0.3817829277509249,0.0374258723044624,0.0026322303697948776,0.03125,0,0.022338306000506236
901036,congestion,aligned,scarce,zero_negative,0.19593955871226498,0.0,0.22552499187783281,0.155355592727397,1.0,0,0.015268269000216605
901036,congestion,rewired,ample,full,0.01841424559772052,0.3970105793931254,0.030606495764980174,0.0008463134419399198,0.03125,0,0.018987025999422258
901036,congestion,rewired,ample,no_K,0.01841424559772052,0.3970105793931254,0.030606495764980174,0.0008463134419399198,0.03125,0,0.019527798000126495
901036,congestion,rewired,ample,no_W,0.01841424559772052,0.3970105793931254,0.030606495764980174,0.0008463134419399198,0.03125,0,0.019362117999435213
901036,congestion,rewired,ample,no_WK,0.01841424559772052,0.3970105793931254,0.030606495764980174,0.0008463134419399198,0.03125,0,0.01879129499980081
901036,congestion,rewired,ample,retuned_zero,0.01841424559772052,0.3970105793931254,0.030606495764980174,0.0008463134419399198,0.03125,0,0.018598483999880955
901036,congestion,rewired,ample,rewired,0.01841424559772052,0.3970105793931254,0.030606495764980174,0.0008463134419399198,0.03125,0,0.01823138899976584
901036,congestion,rewired,ample,reverse,0.01841424559772052,0.3970105793931254,0.030606495764980174,0.0008463134419399198,0.03125,0,0.018141979999541036
901036,congestion,rewired,ample,generic_nonlinear,0.01841424559772052,0.3970105793931254,0.030606495764980174,0.0008463134419399198,0.03125,0,0.016955828000618567
901036,congestion,rewired,ample,generic_equivalent,0.01841424559772052,0.3970105793931254,0.030606495764980174,0.0008463134419399198,0.03125,0,0.01649855299990577
901036,congestion,rewired,ample,signed_intensity,0.01841424559772052,0.3970105793931254,0.030606495764980174,0.0008463134419399198,0.03125,0,0.03673595500038118
901036,congestion,rewired,ample,gradient,0.019689582225985817,0.399850052545689,0.03594932789620553,0.001997568528880287,0.03125,0,0.01591772500000843
901036,congestion,rewired,ample,zero_negative,0.19593955871226498,0.0,0.22552499187783281,0.155355592727397,1.0,0,0.014768794999895363
901036,congestion,rewired,scarce,full,0.019398541938376087,0.38077586046747935,0.03244324668063156,0.0008463709928283583,0.03125,0,0.019149979999724565
901036,congestion,rewired,scarce,no_K,0.019398541938376087,0.38077586046747935,0.03244324668063156,0.0008463709928283583,0.03125,0,0.018889911999394826
901036,congestion,rewired,scarce,no_W,0.019398541938376087,0.38077586046747935,0.03244324668063156,0.0008463709928283583,0.03125,0,0.018273069999850122
901036,congestion,rewired,scarce,no_WK,0.019398541938376087,0.38077586046747935,0.03244324668063156,0.0008463709928283583,0.03125,0,0.01817190900044352
901036,congestion,rewired,scarce,retuned_zero,0.019398541938376087,0.38077586046747935,0.03244324668063156,0.0008463709928283583,0.03125,0,0.018566446999670916
