candidate,kind,replicate,mean_selection_loss,train_steps,train_seconds,actor_parameters
graph-001011,graph,1,107.69967677201039,32768,51.76363601699998,2288
graph-001011,graph,2,104.77026620988424,32768,51.919820363000014,2288
graph-001100,graph,0,109.33186454087263,32768,57.94123060999999,2288
graph-001100,graph,1,105.49498244909206,32768,57.71163994999998,2288
graph-001100,graph,2,6.063932282281009,32768,57.78131784599998,2288
graph-001101,graph,0,96.45159794685121,32768,57.818165101000034,2288
graph-001101,graph,1,109.18703368016413,32768,57.85203050100006,2288
graph-001101,graph,2,-1.8879454707105936,32768,57.80698302899998,2288
graph-001110,graph,0,38.15321280657211,32768,58.345373068000015,2288
graph-001110,graph,1,87.90881052767833,32768,59.25803509999997,2288
graph-001110,graph,2,0.8752980817937202,32768,58.896208091000005,2288
graph-010000,graph,0,62.46911595358202,32768,51.78150740100001,2288
graph-010000,graph,1,101.80287651790098,32768,52.18037313400001,2288
graph-010000,graph,2,45.85177892745802,32768,51.62600063300002,2288
graph-010001,graph,0,111.17559742813724,32768,57.242569986000035,2288
graph-010001,graph,1,109.8647077528553,32768,57.25223827100001,2288
graph-010001,graph,2,109.4085484201399,32768,57.054977583000095,2288
graph-010010,graph,0,26.436085001462036,32768,27.041238076000013,2288
graph-010010,graph,1,102.11888639163226,32768,26.828371736999998,2288
graph-010010,graph,2,100.71129846778545,32768,26.781711580999968,2288
graph-010011,graph,0,99.51533798017125,32768,39.903394245000015,2288
graph-010011,graph,1,108.51289204316951,32768,39.835411136000005,2288
graph-010011,graph,2,100.64197092834446,32768,39.93014490099995,2288
graph-010100,graph,0,89.65037987007719,32768,58.477453275000016,2288
graph-010100,graph,1,110.46458161265281,32768,58.51184573900002,2288
graph-010100,graph,2,99.41873207344906,32768,58.3531589989999,2288
graph-010101,graph,0,-1.1909866066481378,32768,56.72982742800002,2288
graph-010101,graph,1,103.46806882695655,32768,56.87210838699997,2288
graph-010101,graph,2,109.58622390106838,32768,56.816267829000026,2288
graph-010110,graph,0,74.16612174285628,32768,58.0541772250001,2288
graph-010110,graph,1,106.77906681942295,32768,58.13985955200019,2288
graph-010110,graph,2,102.81216368562957,32768,58.09353205100001,2288
graph-011000,graph,0,98.76392628299072,32768,51.49291529599998,2288
graph-011000,graph,1,100.78572616348458,32768,51.349285355999996,2288
graph-011000,graph,2,100.04712846091326,32768,51.433751762000156,2288
graph-011001,graph,0,42.869668534749906,32768,58.552680057999964,2288
graph-011001,graph,1,110.38150827986344,32768,58.69972861399998,2288
graph-011001,graph,2,102.81757572942621,32768,58.97095099999996,2288
graph-011010,graph,0,111.25046305999989,32768,57.47259484,2288
graph-011010,graph,1,6.849803940599994,32768,57.54541491600003,2288
graph-011010,graph,2,7.247856969324254,32768,57.55419932199999,2288
graph-011100,graph,0,109.58623430888919,32768,54.524195814999985,2288
graph-011100,graph,1,106.95797647802262,32768,54.30717447999996,2288
graph-011100,graph,2,100.42248539626598,32768,55.089295297000035,2288
graph-100000,graph,0,-0.0074284346968230925,32768,51.034690643999966,2288
graph-100000,graph,1,101.85502007939958,32768,51.26017838000001,2288
graph-100000,graph,2,-2.1953557814574887,32768,51.275176977,2288
graph-100001,graph,0,104.36794520066017,32768,58.552536534999945,2288
graph-100001,graph,1,111.45589295629826,32768,57.3454825419999,2288
graph-100001,graph,2,98.14135876191882,32768,57.45292005100009,2288
graph-100010,graph,0,111.09951449894452,32768,39.59465013100004,2288
graph-100010,graph,1,111.8503713645041,32768,39.464983743000005,2288
graph-100010,graph,2,99.5571404741301,32768,39.656833930999994,2288
graph-100011,graph,0,89.6323560428702,32768,52.16400779500003,2288
graph-100011,graph,1,99.16335763088944,32768,52.017724354999984,2288
graph-100011,graph,2,22.45760891462366,32768,51.880320649000055,2288
graph-100100,graph,0,11.92474486264918,32768,57.91346355500002,2288
graph-100100,graph,1,100.541421725599,32768,57.93792936800003,2288
graph-100100,graph,2,98.17667067256603,32768,58.08908972699999,2288
graph-100101,graph,0,106.19106899730912,32768,57.80563620300006,2288
graph-100101,graph,1,107.97926467231527,32768,57.613400400000046,2288
graph-100101,graph,2,112.1105428983768,32768,57.88076813100008,2288
graph-100110,graph,0,108.44862460074363,32768,58.15143589400003,2288
graph-100110,graph,1,109.13884946375363,32768,58.000561678000054,2288
graph-100110,graph,2,111.25351407523785,32768,58.16454988099997,2288
graph-101000,graph,0,112.22205028248328,32768,51.83064332299995,2288
graph-101000,graph,1,107.61885511496479,32768,51.80425101200001,2288
graph-101000,graph,2,99.63028616569419,32768,51.600902089000044,2288
graph-101001,graph,0,71.09970161717177,32768,56.78847944300003,2288
graph-101001,graph,1,110.90351821575314,32768,56.58737999900006,2288
graph-101001,graph,2,108.17259655548777,32768,57.015568364000046,2288
graph-101010,graph,0,99.72192254124417,32768,26.961231422000083,2288
graph-101010,graph,1,42.91954158970233,32768,26.918678676000013,2288
graph-101010,graph,2,102.68215127734261,32768,27.120706426000083,2288
graph-101100,graph,0,108.21063216688991,32768,39.72524128599997,2288
graph-101100,graph,1,102.65354867088092,32768,39.939463477000004,2288
graph-101100,graph,2,85.83643873902719,32768,39.833570580000014,2288
graph-110000,graph,0,5.031811375584867,32768,57.48488097500001,2288
graph-110000,graph,1,101.37496030082305,32768,57.87891435200004,2288
graph-110000,graph,2,98.76527199459572,32768,58.02028366900004,2288
graph-110001,graph,0,22.153051289419338,32768,56.705780791999985,2288
graph-110001,graph,1,107.99205622159127,32768,56.84617813199998,2288
graph-110001,graph,2,95.33378273476329,32768,56.763827542999934,2288
graph-110010,graph,0,69.1504429313613,32768,58.19896139799994,2288
graph-110010,graph,1,100.27398891733094,32768,57.91664645100013,2288
graph-110010,graph,2,109.34261469013937,32768,57.91151150699989,2288
graph-110100,graph,0,103.71837126212715,32768,51.41989519800018,2288
graph-110100,graph,1,112.44941691790397,32768,51.368335730000126,2288
graph-110100,graph,2,98.99071853483717,32768,51.68049605800002,2288
graph-111000,graph,0,106.47793157499594,32768,58.517022563999944,2288
graph-111000,graph,1,109.98451636540183,32768,58.60113186499996,2288
graph-111000,graph,2,107.604962222899,32768,58.50892700099996,2288
graph-111111,graph,0,109.22492478135327,32768,57.54828750299998,2288
graph-111111,graph,1,110.02398853707645,32768,57.47860590899995,2288
graph-111111,graph,2,106.3216628091371,32768,57.39183220299992,2288
ppo-00,ppo,0,104.57038270257827,32768,41.23692011900005,10968
ppo-00,ppo,1,70.00236303090222,32768,41.30988858500007,10968
ppo-00,ppo,2,107.65646673076681,32768,40.97725474599997,10968
