controller,seed,family,regime,mean_tracking_loss,tracking_rmse,mean_action_cost,hard_violations,tracking_pass,failure_rate,recovery_fraction,mean_recovery_steps,recovery_censored,initial_tail_loss,return_tail_loss,return_loss_change,mean_stockout,mean_overflow,censored_transition_fraction,action_seconds,learning_seconds,controller_seconds
signed_intensity,52002,dynamic_tracking,paired,0.006747270257794732,0.08214176926384488,2.868101702060036,0,True,0.0,1.0,3.0,0,0.0005879337008552196,0.002779437565376459,0.0021915038645212393,,,,0.0708274630305823,0.028333472939266358,0.09916093596984865
zero,52002,dynamic_tracking,paired,0.22555905286388328,0.4749305768887525,0.0,0,False,1.0,0.0,,3,0.20008574971499196,0.20475739446844243,0.004671644753450471,,,,0.0016974609970930032,0.00027453398797661066,0.001971994985069614
hold,52002,dynamic_tracking,paired,0.09942801968680126,0.31532208880254686,2.47910670584732,0,False,1.0,0.0,,3,0.10517696090556235,0.10627273283340868,0.0010957719278463368,,,,0.0019790189326158725,0.0002968839107779786,0.002275902843393851
paired,52002,dynamic_tracking,paired,0.006747270257794732,0.08214176926384488,2.868101702060036,0,True,0.0,1.0,3.0,0,0.0005879337008552195,0.002779437565376455,0.0021915038645212354,,,,0.06826744402496843,0.026755607970699202,0.09502305199566763
paired_lesion,52002,dynamic_tracking,paired,0.014642767527532422,0.121007303612354,2.9780038522390457,0,True,0.0,1.0,2.6666666666666665,0,0.009648968309437468,0.006398494603632683,-0.0032504737058047847,,,,0.07219775604608003,0.027930369971727487,0.10012812601780752
shuffled,52002,dynamic_tracking,diagonal,0.0023101088080405576,0.0480635912936243,2.8595410440644087,0,True,0.0,1.0,1.0,0,0.00038233385637112646,0.00040040259461806703,1.8068738246940566e-05,,,,0.06642810599441873,0.02608019398758188,0.09250829998200061
dense,52002,dynamic_tracking,diagonal,0.001557315592485341,0.039462838120000204,2.7862129681887744,0,True,0.0,1.0,1.0,0,6.845681775667007e-05,6.202781997504642e-05,-6.428997781623654e-06,,,,0.0676938760370831,0.027439611993031576,0.09513348803011468
signed_intensity,52002,dynamic_tracking,diagonal,0.002651326971410965,0.05149103777756829,2.8609910224642685,0,True,0.0,1.0,1.0,0,0.0004485253608848723,0.0006691821894826578,0.0002206568285977855,,,,0.0689929059590213,0.026681666015065275,0.09567457197408658
zero,52002,dynamic_tracking,diagonal,0.19405067971239728,0.44051183833399676,0.0,0,False,1.0,0.0,,3,0.18569363717616716,0.18995332698756326,0.0042596898113961,,,,0.001910209990455769,0.00028899902827106416,0.002199209018726833
hold,52002,dynamic_tracking,diagonal,0.09162205997021805,0.30269136091110704,2.47910670584732,0,False,1.0,0.0,,3,0.10622044547898354,0.1078579277529738,0.0016374822739902567,,,,0.0018261150253238156,0.0002771450308500789,0.0021032600561738946
paired,52002,dynamic_tracking,diagonal,0.0026513269714109654,0.0514910377775683,2.860991022464269,0,True,0.0,1.0,1.0,0,0.0004485253608848722,0.0006691821894826578,0.0002206568285977856,,,,0.06949183493270539,0.026778666964673903,0.09627050189737929
paired_lesion,52002,dynamic_tracking,diagonal,0.0052156691429036586,0.07221958974477534,3.00045848510699,0,True,0.0,1.0,1.0,0,0.003953748358788934,0.0003826137869440293,-0.003571134571844905,,,,0.07171797200862784,0.029610480036353692,0.10132845204498153
diagonal,52002,dynamic_tracking,diagonal,0.0033168823051868794,0.057592380617464314,2.906135824933634,0,True,0.0,1.0,1.0,0,0.0009356640977322959,0.0004639888847031352,-0.0004716752130291607,,,,0.0823186779525713,0.028447412019886542,0.11076608997245785
dense,52002,dynamic_tracking,misaligned,0.0025749272407345884,0.05074374090205203,2.793158652608075,0,True,0.0,1.0,1.0,0,8.226281771095005e-05,5.4249096093405316e-05,-2.8013721617544735e-05,,,,0.07098450695048086,0.03003146300034132,0.10101596995082218
signed_intensity,52002,dynamic_tracking,misaligned,0.007535291505399803,0.0868060568474332,2.8863312796285747,0,True,0.0,1.0,1.0,0,0.0038784395769893287,0.00209309466594124,-0.0017853449110480889,,,,0.08451532300387044,0.03379283397225663,0.11830815697612707
zero,52002,dynamic_tracking,misaligned,0.22501234699604572,0.4743546637233007,0.0,0,False,1.0,0.0,,3,0.21959744751323745,0.2246659872720504,0.00506853975881294,,,,0.0017101549965445884,0.00025855706189759076,0.001968712058442179
hold,52002,dynamic_tracking,misaligned,0.10523316089637093,0.3243966104884127,2.47910670584732,0,False,1.0,0.0,,3,0.14016061800522842,0.14165328859327656,0.0014926705880481395,,,,0.0017312180279986933,0.00025878897577058524,0.0019900070037692785
paired,52002,dynamic_tracking,misaligned,0.007535291505399803,0.0868060568474332,2.8863312796285747,0,True,0.0,1.0,1.0,0,0.003878439576989329,0.00209309466594124,-0.0017853449110480893,,,,0.08430017898353981,0.0309584850401734,0.11525866402371321
paired_lesion,52002,dynamic_tracking,misaligned,0.011812961169397436,0.1086874471565021,3.0100577522114538,0,True,0.0,1.0,1.3333333333333333,0,0.009215637708381737,0.0037651059126949885,-0.005450531795686749,,,,0.07658944204013096,0.03215367201482877,0.10874311405495973
diagonal,52002,dynamic_tracking,misaligned,0.010197838313788983,0.10098434687509239,2.9179081659940644,0,True,0.0,1.0,1.3333333333333333,0,0.0033104460967389566,0.002927395033713414,-0.0003830510630255424,,,,0.0843321900247247,0.03444295698136557,0.11877514700609026
shuffled,52002,dynamic_tracking,misaligned,0.008539255022279839,0.09240808959328095,2.91000659306247,0,True,0.0,1.0,1.6666666666666667,0,0.0015184017578867967,0.001782301314945752,0.00026389955705895534,,,,0.07104611201793887,0.03100122902833391,0.10204734104627278
shuffled,52002,cooperative_inventory,paired,0.009897701713240364,0.09948719371477097,3.13748495610926,0,True,0.0,1.0,4.666666666666667,0,0.00029974326238427543,0.00039075804628892273,9.10147839046473e-05,0.0016324862135143302,0.0019910682812272367,0.2919921875,0.09234784798172768,0.01823254599730717,0.11058039397903485
dense,52002,cooperative_inventory,paired,0.009403518893423609,0.09697174275748378,3.079311916068818,0,True,0.0,1.0,4.666666666666667,0,6.0963267671041804e-05,2.8866800815569827e-05,-3.209646685547198e-05,0.0013291038743986443,0.0014474794483091175,0.2275390625,0.09025843699055258,0.018895094057370443,0.10915353104792302
signed_intensity,52002,cooperative_inventory,paired,0.009425969291132716,0.09708743116970762,3.1232159995898496,0,True,0.0,1.0,4.666666666666667,0,0.0004369614977993543,6.73944650788078e-05,-0.0003695670327205465,0.0013219587806274958,0.001558012676101889,0.208984375,0.09499317103473004,0.018463653956132475,0.11345682499086251
