seed,variant,tracking_rmse,mean_regret,mean_cost,hard_violations,mean_recovery_steps,recovery_censored,recovery_events,recovery_fraction,recall_regret,reacquisition_regret,effect_discrimination,effect_target_correlation,mean_node_homogeneity,mean_temporal_action_cosine,external_pass
1012,gate_small_action_updates,0.053642501472221805,0.0028743623049974575,15.213955824210368,0,0.6,0,5,1.0,0.012359970098851316,0.00011736088033384783,0.5329891031211721,0.9836718142819126,0.9624726545620189,0.9882508109569497,True
1013,dual_pole,0.06175633722141017,0.003810710530839805,14.333962784072144,0,0.8,0,5,1.0,0.013410684935011276,0.00010709099325991534,0.5257314819203344,0.9786222145410932,0.9596491187222306,0.9868351259251525,True
1013,recurrent,0.06358783253801174,0.004040277790717499,14.444226767280687,0,1.2,0,5,1.0,0.011957816177801407,0.00010679607584288414,0.5298533103405467,0.9763024439125281,0.9585800825274099,0.9746017355664657,True
1013,no_self_model,0.052988215404438585,0.0028046163155824567,14.513385812750336,0,0.6,0,5,1.0,0.011580491100585451,0.00010596325198730944,0.532458816923551,0.9842190558225613,0.9585964057957822,0.9857727287631401,True
1013,reset_capacity_recall,0.0589226940985994,0.0034687492236723945,14.371412033813906,0,0.6,0,5,1.0,0.011570686215809816,0.0001065387775669268,0.5271358150859996,0.9806828643038293,0.9594052806380547,0.986633888075039,True
1013,reset_gain_only_recall,0.059216212178987614,0.003503425128662155,14.367284449291887,0,0.6,0,5,1.0,0.011568993605550106,0.00010660338570255514,0.5269810418688174,0.9804761485534945,0.9594317339844737,0.9866443718877311,True
1013,freeze_capacity_recall,0.06860494566864382,0.0047035039140328454,14.25924689085033,0,0.5,1,5,0.8,0.020250518111572986,0.0012687195579152394,0.522932027383339,0.9730899574309533,0.9601648208006051,0.9865032294950296,False
1013,reset_freeze_capacity_recall,0.05538765450851345,0.0030646576157897245,14.44395120493362,0,0.6,0,5,1.0,0.011581106550326549,0.00010610108772790938,0.5298560353187483,0.9829185293270636,0.9588551506666224,0.9862929670010502,True
1013,unit_confidence_recall,0.04492416329483653,0.0020150457915764125,14.919405409082216,0,0.6,0,5,1.0,0.0027435432926557995,2.441274875625816e-07,0.5476855801879176,0.9876478712873936,0.9564607387449974,0.9865980407073667,True
1013,zero_noise,0.052933583554856084,0.0028019642679589303,14.513385812750336,0,0.6,0,5,1.0,0.011567546652780349,0.0001062082186449972,0.5331919476130033,0.9842616194410218,0.9585964057957822,0.9857727287631401,True
